epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9841,1.92723,6.92009,1.99026,1e-05,0.0002,1e-05,0,nan,nan,nan,0.0823103,0.00196552,0.00196552
2,67.2333,1.88718,5.15618,1.9782,0.50137,0.00534,0.00021,5e-05,4.26612,inf,7.5538,0.0642839,0.00393911,0.00393911
3,94.6732,1.86657,4.91837,1.9221,0.3662,0.05746,0.01125,0.00327,3.17779,inf,4.49531,0.0462309,0.00588606,0.00588606
4,121.623,1.86679,4.82169,1.91961,0.40508,0.03222,0.02819,0.01121,2.68623,inf,3.23096,0.0281512,0.00780637,0.00780637
5,149.291,1.89737,4.74658,1.92197,0.28848,0.09804,0.05116,0.01924,2.09511,inf,2.39828,0.0100449,0.00970004,0.00970004
6,176.064,1.87254,4.68877,1.90567,0.13976,0.13099,0.07911,0.02914,2.18066,8.78281,2.46502,0.009667,0.009667,0.009667
7,202.643,1.81503,4.51064,1.86282,0.11571,0.23907,0.09807,0.03913,1.92356,8.34187,2.04904,0.0096004,0.0096004,0.0096004
8,229.387,1.77808,4.38384,1.83636,0.22348,0.21184,0.16864,0.07672,1.83753,4.37622,1.9542,0.0095338,0.0095338,0.0095338
9,256.011,1.72383,4.31315,1.80314,0.27102,0.24424,0.21277,0.10072,1.77526,4.36591,1.87605,0.0094672,0.0094672,0.0094672
10,282.54,1.72761,4.112,1.80005,0.21645,0.18476,0.14679,0.06093,1.96122,5.01798,2.03028,0.0094006,0.0094006,0.0094006
11,309.478,1.72245,4.03153,1.77721,0.25436,0.21022,0.18028,0.08162,1.78169,4.93321,1.89818,0.009334,0.009334,0.009334
12,337.315,1.73502,4.0516,1.78992,0.23713,0.25836,0.19064,0.0918,1.69657,3.92712,1.83104,0.0092674,0.0092674,0.0092674
13,365.287,1.69243,4.0398,1.77808,0.28524,0.25637,0.23014,0.10847,1.78642,4.10008,1.85227,0.0092008,0.0092008,0.0092008
14,393.299,1.69319,3.97798,1.75809,0.2785,0.29904,0.22304,0.10981,1.65043,4.07939,1.7272,0.0091342,0.0091342,0.0091342
15,421.549,1.66155,3.83704,1.74105,0.26309,0.22823,0.17861,0.07782,1.81084,4.69109,1.91319,0.0090676,0.0090676,0.0090676
16,449.046,1.67689,3.88265,1.75432,0.30951,0.22312,0.18382,0.09168,1.75071,4.57213,1.83208,0.009001,0.009001,0.009001
17,476.4,1.6418,3.91511,1.73239,0.32837,0.30084,0.27658,0.15014,1.50376,3.63501,1.62321,0.0089344,0.0089344,0.0089344
18,502.408,1.64293,3.75161,1.72272,0.34648,0.31718,0.27736,0.13291,1.68856,3.45223,1.76528,0.0088678,0.0088678,0.0088678
19,529.183,1.65131,3.70261,1.7159,0.3427,0.27489,0.27098,0.13529,1.70231,3.41743,1.77819,0.0088012,0.0088012,0.0088012
20,555.118,1.6558,3.66945,1.71224,0.37307,0.3102,0.29559,0.15272,1.61944,3.21318,1.71834,0.0087346,0.0087346,0.0087346
21,581.423,1.61818,3.69067,1.70669,0.35829,0.29609,0.27273,0.13839,1.59619,3.82961,1.69283,0.008668,0.008668,0.008668
22,607.686,1.63867,3.65232,1.70532,0.32037,0.28355,0.25908,0.12931,1.68972,3.42764,1.75548,0.0086014,0.0086014,0.0086014
23,633.771,1.60174,3.50847,1.68407,0.35376,0.30386,0.28409,0.1568,1.49815,3.23854,1.60843,0.0085348,0.0085348,0.0085348
24,660.246,1.61027,3.46744,1.68973,0.29506,0.27448,0.22221,0.11463,1.61387,3.77971,1.74037,0.0084682,0.0084682,0.0084682
25,686.534,1.6269,3.63103,1.70578,0.3636,0.30364,0.27556,0.14369,1.5707,3.58559,1.6465,0.0084016,0.0084016,0.0084016
26,712.781,1.57478,3.36066,1.67579,0.3766,0.31755,0.30705,0.17438,1.48872,3.06827,1.60326,0.008335,0.008335,0.008335
27,739.038,1.58276,3.39696,1.64538,0.3708,0.28153,0.25707,0.13049,1.67202,3.61035,1.74771,0.0082684,0.0082684,0.0082684
28,765.011,1.56853,3.38032,1.64636,0.36976,0.34151,0.30722,0.17232,1.46079,3.13777,1.58257,0.0082018,0.0082018,0.0082018
29,791.366,1.54157,3.33885,1.63937,0.40319,0.34862,0.31975,0.17497,1.48866,3.15265,1.58071,0.0081352,0.0081352,0.0081352
30,817.48,1.56174,3.25803,1.64681,0.35018,0.27951,0.25469,0.13592,1.5652,3.6353,1.69353,0.0080686,0.0080686,0.0080686
31,843.484,1.57106,3.38142,1.66834,0.37078,0.3195,0.31046,0.17006,1.48023,3.00151,1.59095,0.008002,0.008002,0.008002
32,869.555,1.57638,3.26812,1.63174,0.46144,0.34825,0.3538,0.18804,1.59065,2.96519,1.68327,0.0079354,0.0079354,0.0079354
33,896.225,1.50717,3.28001,1.62886,0.39269,0.33338,0.30992,0.16542,1.52776,3.15229,1.63303,0.0078688,0.0078688,0.0078688
34,923.911,1.53921,3.28526,1.64286,0.39022,0.31539,0.31259,0.16719,1.53764,3.09215,1.63429,0.0078022,0.0078022,0.0078022
35,950.561,1.5337,3.26172,1.61569,0.45868,0.38645,0.39033,0.22679,1.41919,2.65558,1.52662,0.0077356,0.0077356,0.0077356
36,976.664,1.53457,3.17034,1.61683,0.3866,0.32885,0.31036,0.1812,1.4116,3.13404,1.54445,0.007669,0.007669,0.007669
37,1002.69,1.55772,3.17743,1.62513,0.45747,0.36999,0.38094,0.2172,1.4397,2.71184,1.5549,0.0076024,0.0076024,0.0076024
38,1029.12,1.5343,3.17543,1.60762,0.44275,0.35515,0.3707,0.20658,1.47581,2.73065,1.58115,0.0075358,0.0075358,0.0075358
39,1055.31,1.5232,3.16375,1.60949,0.48444,0.35539,0.37893,0.21063,1.46879,2.69793,1.55933,0.0074692,0.0074692,0.0074692
40,1081.8,1.52844,3.12037,1.62414,0.45825,0.37866,0.3872,0.21916,1.45693,2.7331,1.55541,0.0074026,0.0074026,0.0074026
41,1108.1,1.47599,3.06861,1.5931,0.45975,0.36108,0.36979,0.20627,1.47816,2.84007,1.56634,0.007336,0.007336,0.007336
42,1134.26,1.46944,3.00713,1.5736,0.46342,0.35919,0.36644,0.21182,1.43851,2.81907,1.54592,0.0072694,0.0072694,0.0072694
43,1160.78,1.48529,3.02309,1.59412,0.47046,0.37646,0.39193,0.23222,1.38251,2.60843,1.51443,0.0072028,0.0072028,0.0072028
44,1187.24,1.51752,3.09625,1.60968,0.47491,0.38755,0.39786,0.22149,1.48989,2.74962,1.57468,0.0071362,0.0071362,0.0071362
45,1214.5,1.48019,3.05116,1.59168,0.52151,0.36956,0.41314,0.24064,1.42196,2.623,1.52563,0.0070696,0.0070696,0.0070696
46,1240.86,1.49059,3.01114,1.59471,0.49572,0.38144,0.40556,0.24662,1.33953,2.56804,1.45841,0.007003,0.007003,0.007003
47,1267.47,1.477,2.97383,1.58319,0.49293,0.38249,0.40546,0.23551,1.42616,2.53463,1.52238,0.0069364,0.0069364,0.0069364
48,1293.65,1.47346,2.96776,1.5789,0.49354,0.38744,0.42897,0.24763,1.46995,2.61771,1.55244,0.0068698,0.0068698,0.0068698
49,1320.25,1.49242,2.98741,1.59094,0.50469,0.38186,0.42243,0.2421,1.4421,2.59679,1.52978,0.0068032,0.0068032,0.0068032
50,1347.24,1.44388,2.96513,1.56578,0.43891,0.389,0.38934,0.2269,1.42988,2.78639,1.52485,0.0067366,0.0067366,0.0067366
51,1374.51,1.42227,2.92413,1.56032,0.45591,0.38173,0.37032,0.22167,1.33541,2.85236,1.45513,0.00667,0.00667,0.00667
52,1400.7,1.47034,2.86645,1.55394,0.52165,0.37864,0.42738,0.26254,1.36552,2.54315,1.46983,0.0066034,0.0066034,0.0066034
53,1427.05,1.47985,2.8884,1.5771,0.49335,0.35408,0.39255,0.22981,1.39659,2.69421,1.49639,0.0065368,0.0065368,0.0065368
54,1453.18,1.47793,2.87259,1.57414,0.52047,0.38125,0.41134,0.25122,1.31197,2.50151,1.44139,0.0064702,0.0064702,0.0064702
55,1479.86,1.47406,2.93577,1.5767,0.49557,0.39257,0.41652,0.25195,1.34991,2.54146,1.46279,0.0064036,0.0064036,0.0064036
56,1505.74,1.42675,2.80742,1.54762,0.55099,0.40035,0.45069,0.27496,1.35523,2.44052,1.46731,0.006337,0.006337,0.006337
57,1531.8,1.45589,2.85946,1.54899,0.49609,0.40204,0.40589,0.23927,1.39678,2.60738,1.48224,0.0062704,0.0062704,0.0062704
58,1558.07,1.46313,2.87355,1.57176,0.54565,0.39198,0.44983,0.27325,1.36934,2.39969,1.47374,0.0062038,0.0062038,0.0062038
59,1584.6,1.48807,2.84975,1.57319,0.53362,0.38535,0.44123,0.26363,1.39373,2.46292,1.49124,0.0061372,0.0061372,0.0061372
60,1611.31,1.43281,2.86306,1.55236,0.52289,0.40197,0.43667,0.25911,1.3708,2.44169,1.45878,0.0060706,0.0060706,0.0060706
61,1639.35,1.42782,2.76542,1.54635,0.53858,0.37464,0.42556,0.26258,1.36214,2.44837,1.46624,0.006004,0.006004,0.006004
62,1666.83,1.42813,2.86973,1.55155,0.51902,0.3739,0.42444,0.26231,1.32714,2.41685,1.44198,0.0059374,0.0059374,0.0059374
63,1694.07,1.44172,2.77668,1.55494,0.53773,0.40551,0.44705,0.27065,1.37785,2.41497,1.46831,0.0058708,0.0058708,0.0058708
64,1721.5,1.42863,2.69459,1.52552,0.55971,0.41704,0.45389,0.27968,1.32638,2.33343,1.44172,0.0058042,0.0058042,0.0058042
65,1749.07,1.44083,2.76295,1.53846,0.54981,0.40898,0.45323,0.27427,1.34316,2.43088,1.44847,0.0057376,0.0057376,0.0057376
66,1776.53,1.44292,2.78813,1.55563,0.56461,0.40148,0.46804,0.28916,1.35973,2.32715,1.46121,0.005671,0.005671,0.005671
67,1803.41,1.45897,2.72614,1.54703,0.55027,0.42677,0.47242,0.28648,1.35341,2.31934,1.45756,0.0056044,0.0056044,0.0056044
68,1829.31,1.42938,2.67119,1.52576,0.5676,0.39564,0.46283,0.29382,1.30315,2.32684,1.41997,0.0055378,0.0055378,0.0055378
69,1855.67,1.39229,2.68735,1.52058,0.51968,0.42265,0.44975,0.27322,1.3703,2.43078,1.47921,0.0054712,0.0054712,0.0054712
70,1881.83,1.39832,2.68285,1.51642,0.55769,0.42237,0.46757,0.29184,1.30637,2.27167,1.42056,0.0054046,0.0054046,0.0054046
71,1908.02,1.42978,2.68128,1.53319,0.55316,0.41996,0.47067,0.28403,1.35519,2.30882,1.44768,0.005338,0.005338,0.005338
72,1934.24,1.44781,2.69865,1.53984,0.54965,0.42273,0.45704,0.28263,1.32774,2.33513,1.43413,0.0052714,0.0052714,0.0052714
73,1960.3,1.39221,2.60828,1.52571,0.57947,0.40099,0.4655,0.29754,1.29091,2.26525,1.41494,0.0052048,0.0052048,0.0052048
74,1986.47,1.40285,2.73056,1.5439,0.55337,0.41358,0.46798,0.28962,1.32427,2.31278,1.42194,0.0051382,0.0051382,0.0051382
75,2012.28,1.37673,2.64646,1.52517,0.55229,0.42319,0.46256,0.28326,1.3459,2.32199,1.45833,0.0050716,0.0050716,0.0050716
76,2039.45,1.42027,2.64593,1.51815,0.57491,0.42094,0.48434,0.29986,1.30981,2.26778,1.42227,0.005005,0.005005,0.005005
77,2067.86,1.38685,2.63894,1.52791,0.5787,0.40935,0.46633,0.28402,1.35771,2.32977,1.46112,0.0049384,0.0049384,0.0049384
78,2095.23,1.35803,2.59568,1.51256,0.55031,0.44023,0.48921,0.30382,1.31891,2.22086,1.42096,0.0048718,0.0048718,0.0048718
79,2122.71,1.43854,2.60458,1.51505,0.56528,0.4068,0.46972,0.29455,1.29753,2.26525,1.41118,0.0048052,0.0048052,0.0048052
80,2150.18,1.35636,2.56009,1.49529,0.56155,0.41488,0.48425,0.30978,1.29076,2.25407,1.39798,0.0047386,0.0047386,0.0047386
81,2177.77,1.36137,2.56628,1.49303,0.56299,0.42585,0.49093,0.31182,1.28544,2.20409,1.40642,0.004672,0.004672,0.004672
82,2204.4,1.40906,2.63154,1.51801,0.51505,0.43956,0.45599,0.29372,1.23907,2.28775,1.37335,0.0046054,0.0046054,0.0046054
83,2230.44,1.39137,2.50759,1.50531,0.5733,0.4321,0.49762,0.31852,1.25248,2.15027,1.38575,0.0045388,0.0045388,0.0045388
84,2256.48,1.38733,2.49296,1.50135,0.54339,0.42944,0.48119,0.30357,1.308,2.2401,1.42243,0.0044722,0.0044722,0.0044722
85,2282.67,1.39947,2.61694,1.51406,0.56867,0.43587,0.49745,0.31682,1.28214,2.16436,1.39127,0.0044056,0.0044056,0.0044056
86,2308.81,1.38804,2.52453,1.50477,0.55724,0.43211,0.49465,0.31607,1.28099,2.18352,1.39592,0.004339,0.004339,0.004339
87,2334.86,1.38184,2.50662,1.49526,0.6035,0.42361,0.50321,0.32125,1.2851,2.15177,1.39173,0.0042724,0.0042724,0.0042724
