epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6896,2.64475,9.86839,2.02665,5e-05,0.00121,2e-05,0,nan,nan,nan,0.0823103,0.00196552,0.00196552
2,59.0301,2.53586,7.7577,1.9711,0.17322,0.00863,0.00098,0.0003,4.92877,41.2577,6.0524,0.0643099,0.00396508,0.00396508
3,85.6764,2.57364,7.64911,1.97194,0.03998,0.0426,0.01212,0.0051,3.91886,26.2767,3.50261,0.0463077,0.0059629,0.0059629
4,112.946,2.54687,7.58208,1.97154,0.05821,0.08989,0.02787,0.01096,3.41938,inf,2.92543,0.0283025,0.00795767,0.00795767
5,139.794,2.58988,7.2333,1.95357,0.26516,0.11115,0.06849,0.026,2.90195,14.5743,2.48312,0.0102929,0.00994806,0.00994806
6,166.78,2.50413,7.21436,1.91025,0.09954,0.1673,0.07535,0.02778,2.82259,10.4536,2.32693,0.00997264,0.00997264,0.00997264
7,193.675,2.44547,6.91979,1.88284,0.11853,0.21903,0.11223,0.04637,2.58717,9.84667,2.02061,0.00996061,0.00996061,0.00996061
8,220.031,2.42785,6.77514,1.85943,0.14587,0.16901,0.10417,0.0391,2.70398,9.95459,2.14009,0.00994642,0.00994642,0.00994642
9,246.162,2.40699,6.71149,1.85429,0.17992,0.20696,0.13701,0.05596,2.54307,7.08386,1.99588,0.00993005,0.00993005,0.00993005
10,272.797,2.38857,6.43992,1.82668,0.22888,0.23616,0.18125,0.08133,2.41083,7.36687,1.88828,0.00991152,0.00991152,0.00991152
11,299.009,2.34324,6.37637,1.80163,0.22486,0.21128,0.17177,0.07323,2.55625,6.51822,2.03746,0.00989085,0.00989085,0.00989085
12,326.497,2.34595,6.27894,1.80926,0.26366,0.17051,0.14461,0.06394,2.42612,7.25581,1.87293,0.00986803,0.00986803,0.00986803
13,352.907,2.34693,6.31243,1.81714,0.30519,0.23367,0.21827,0.10693,2.36235,5.82976,1.8839,0.00984307,0.00984307,0.00984307
14,378.953,2.32114,6.03425,1.76547,0.26696,0.25601,0.20972,0.0992,2.32828,6.29519,1.82606,0.009816,0.009816,0.009816
