epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7935,1.81462,6.08088,1.9061,0.02764,0.28436,0.01675,0.00602,2.51976,inf,7.16228,0.0823103,0.00196552,0.00196552
2,44.6085,1.754,4.10582,1.8543,0.39732,0.10964,0.10145,0.03905,2.24913,inf,4.15202,0.0642839,0.00393911,0.00393911
3,64.2844,1.72319,3.7876,1.79456,0.29937,0.29645,0.23469,0.1094,1.85819,inf,2.51123,0.0462309,0.00588606,0.00588606
4,84.1372,1.71287,3.76426,1.80119,0.33448,0.32782,0.27245,0.12539,1.78758,6.16717,2.14407,0.0281512,0.00780637,0.00780637
5,103.601,1.7326,3.62981,1.79324,0.38995,0.31814,0.27938,0.13989,1.62572,4.60501,1.96467,0.0100449,0.00970004,0.00970004
6,123.087,1.70977,3.5804,1.77397,0.31556,0.3182,0.26561,0.13432,1.64984,5.16353,1.9882,0.009667,0.009667,0.009667
7,141.983,1.6518,3.39307,1.72918,0.40936,0.31385,0.3003,0.15093,1.71766,3.86914,1.99407,0.0096004,0.0096004,0.0096004
8,161.426,1.62719,3.35995,1.71749,0.40535,0.35564,0.32706,0.16419,1.63978,3.63726,1.82971,0.0095338,0.0095338,0.0095338
9,180.183,1.59081,3.3861,1.70365,0.51472,0.34007,0.37566,0.21055,1.55428,3.28156,1.78552,0.0094672,0.0094672,0.0094672
10,198.484,1.5866,3.2353,1.68977,0.49097,0.36556,0.37982,0.21259,1.55982,3.08957,1.70464,0.0094006,0.0094006,0.0094006
11,218.03,1.58544,3.07945,1.67224,0.49268,0.38009,0.40692,0.22942,1.52629,3.02175,1.68658,0.009334,0.009334,0.009334
12,237.926,1.60816,3.17602,1.68965,0.47911,0.37179,0.4111,0.22381,1.56137,3.05734,1.68291,0.0092674,0.0092674,0.0092674
13,257.75,1.53721,3.09804,1.65925,0.47403,0.37381,0.39509,0.22327,1.4378,3.04641,1.57044,0.0092008,0.0092008,0.0092008
14,277.707,1.5655,3.13859,1.66886,0.49759,0.40375,0.42552,0.23606,1.47071,2.92121,1.60308,0.0091342,0.0091342,0.0091342
15,297.158,1.55092,3.0534,1.66418,0.45638,0.38541,0.37688,0.21729,1.42134,2.99607,1.58523,0.0090676,0.0090676,0.0090676
16,315.918,1.55261,3.09555,1.66839,0.53047,0.40023,0.42759,0.24641,1.44429,2.61824,1.57912,0.009001,0.009001,0.009001
17,335.046,1.52715,3.10223,1.65142,0.50039,0.41144,0.42762,0.25556,1.38554,2.53275,1.53067,0.0089344,0.0089344,0.0089344
18,353.682,1.53142,2.94776,1.63948,0.51735,0.41354,0.42939,0.24967,1.44731,2.62944,1.56913,0.0088678,0.0088678,0.0088678
19,372.698,1.53903,2.89863,1.63135,0.54141,0.38547,0.43488,0.24944,1.50233,2.67023,1.61777,0.0088012,0.0088012,0.0088012
20,391.007,1.53854,2.88054,1.62713,0.53301,0.40889,0.44532,0.27009,1.39429,2.56923,1.53579,0.0087346,0.0087346,0.0087346
21,409.076,1.51741,2.92887,1.62031,0.53802,0.39361,0.44352,0.26267,1.40258,2.53862,1.5167,0.008668,0.008668,0.008668
22,426.768,1.52874,2.91034,1.618,0.56275,0.37824,0.43173,0.26076,1.4039,2.58655,1.53922,0.0086014,0.0086014,0.0086014
23,444.792,1.5032,2.802,1.60629,0.54314,0.3975,0.45216,0.27636,1.37349,2.49184,1.5165,0.0085348,0.0085348,0.0085348
