epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1809,2.67258,9.11505,1.948,0.27244,0.21906,0.1915,0.09707,2.20277,6.22784,1.67832,0.0823103,0.00196552,0.00196552
2,37.3261,2.22719,6.10949,1.6591,0.33105,0.27891,0.26762,0.12825,2.30522,5.20671,1.61062,0.0643099,0.00396508,0.00396508
3,53.4475,2.19538,5.51876,1.61063,0.39334,0.25464,0.24099,0.11592,2.38812,5.59218,1.72683,0.0463077,0.0059629,0.0059629
4,69.6398,2.16724,5.38838,1.59703,0.32709,0.25662,0.24842,0.13063,2.12275,5.57679,1.55436,0.0283025,0.00795767,0.00795767
5,85.6172,2.28743,5.55609,1.63064,0.32166,0.27171,0.24009,0.11873,2.27428,6.1336,1.67996,0.0102929,0.00994806,0.00994806
6,102.497,2.26367,5.73657,1.65489,0.29963,0.20256,0.14825,0.07511,2.40148,9.02289,1.77801,0.00997264,0.00997264,0.00997264
7,118.4,2.24235,5.61417,1.65718,0.31544,0.27313,0.25044,0.11927,2.35732,5.57873,1.77914,0.00996061,0.00996061,0.00996061
8,134.856,2.22559,5.46879,1.64883,0.32535,0.28628,0.23104,0.11214,2.23744,6.5984,1.6517,0.00994642,0.00994642,0.00994642
9,151.01,2.20956,5.39254,1.63611,0.38081,0.31838,0.28776,0.15167,2.16285,5.40401,1.60359,0.00993005,0.00993005,0.00993005
10,167.419,2.21137,5.32147,1.63091,0.37921,0.29413,0.25913,0.1215,2.31049,5.84895,1.72054,0.00991152,0.00991152,0.00991152
11,183.878,2.18545,5.26518,1.62585,0.37327,0.30293,0.26326,0.13513,2.16553,5.93884,1.63425,0.00989085,0.00989085,0.00989085
12,199.996,2.19326,5.17577,1.63888,0.409,0.36454,0.33685,0.17889,2.06929,4.73689,1.56612,0.00986803,0.00986803,0.00986803
13,215.77,2.1626,5.13954,1.63483,0.38092,0.28025,0.25223,0.12945,2.17655,5.63986,1.64421,0.00984307,0.00984307,0.00984307
14,231.547,2.14424,4.85942,1.58298,0.41323,0.34179,0.33172,0.1681,2.19134,5.37036,1.64263,0.009816,0.009816,0.009816
15,247.375,2.08626,4.85696,1.58047,0.43184,0.34384,0.35438,0.20809,1.89275,4.4339,1.4431,0.00978681,0.00978681,0.00978681
16,263.408,2.09948,4.91374,1.59783,0.4185,0.34318,0.34315,0.19075,1.98808,4.46416,1.5423,0.00975553,0.00975553,0.00975553
17,278.952,2.09902,4.84749,1.5894,0.39467,0.32804,0.31426,0.1611,2.15352,4.92321,1.59465,0.00972216,0.00972216,0.00972216
